seq,menu_file,item_id,title_ref,title_zh,domain,phase,status,owner,verify,notes
1,about.xml,@+id/menu_share_it,@string/share,分享,系统与工具,P10,done,codex,命令: dart format lib/features/settings/views/about_settings_view.dart；手工路径（待回归）: 设置->关于与诊断->右上角分享；校验顶栏新增一级分享图标且点击后直接拉起系统分享面板，分享主题为应用名并携带发布链接；异常分支保持静默无提示,对齐 legado about/menu_share_it + AboutActivity.onCompatOptionsItemSelected(menu_share_it) + Context.share 语义: 关于页顶栏补齐一级“分享”动作；点击直接分享 app_share_description 与 app_name；分享失败静默吞掉，不追加成功或失败提示
2,about.xml,@+id/menu_scoring,@string/scoring,评分,系统与工具,P10,pending,-,-,-
3,app_log.xml,@+id/menu_clear,@string/clear,清除,系统与工具,P10,done,codex,命令: dart format lib/features/settings/views/app_log_dialog.dart；手工路径（待回归）: 设置->关于与诊断->异常日志->清除；校验顶栏右侧存在“清除”一级动作且点击后无确认弹窗无成功提示并立即清空列表；点击日志弹层空白区域可关闭弹层,对齐 legado app_log/menu_clear + AppLogDialog.onMenuItemClick(menu_clear) + AppLog.clear 语义: 日志弹层顶栏保留单项“清除”动作；点击后直接清空日志集合并立即刷新列表；流程静默不追加文案提示
4,app_update.xml,@+id/menu_download,@string/action_download,下载,系统与工具,P10,done,codex,命令: dart format lib/features/settings/views/about_settings_view.dart；手工路径（待回归）: 设置->关于与诊断->检查更新->更新弹层->下载；校验更新弹层顶部存在“下载”动作且点击后提示“开始下载”，下载链接无效或拉起失败时提示“下载启动失败”并写入异常日志,对齐 legado app_update/menu_download + UpdateDialog.onMenuItemClick(menu_download) 语义: 更新弹层收敛为“版本标题+正文滚动区+顶部下载动作”；下载动作仅在 downloadUrl/fileName 有效时触发，并保持“开始下载”反馈与失败可观测
5,audio_play.xml,@+id/menu_change_source,@string/change_origin,换源,阅读与朗读,P3,done,codex,手工路径: 阅读页->底部菜单长按朗读->播放->换源; 校验播放菜单出现换源入口且点击后进入换源候选弹层,将朗读长按入口从占位提示收敛为 legado audio_play menu_change_source 同义换源动作并复用整书换源链路
6,audio_play.xml,@+id/menu_login,@string/login,登录,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书且书源配置 loginUrl)->底部菜单长按朗读->播放->登录; 校验 loginUrl 非空时显示登录入口且点击后进入登录流程，无 loginUrl 时不展示,播放菜单补齐 legado audio_play menu_login 同义入口并复用现有书源登录链路（loginUi/Web 登录）
7,audio_play.xml,@+id/menu_copy_audio_url,@string/copy_play_url,拷贝播放 URL,阅读与朗读,P3,done,codex,手工路径: 阅读页->底部菜单长按朗读->播放->拷贝播放 URL; 校验点击后剪贴板写入当前章节链接文本（允许为空）且提示“已拷贝”,播放菜单补齐 legado audio_play menu_copy_audio_url 同义入口并复用章节链接解析为当前播放 URL；复制动作保持“可空也可复制”边界并提示已拷贝
8,audio_play.xml,@+id/menu_edit_source,@string/edit_book_source,编辑书源,阅读与朗读,P3,done,codex,手工路径: 阅读页(网络书) -> 底部菜单长按朗读 -> 播放 -> 编辑书源; 校验可进入编辑书源页，取消返回不刷新，保存返回后刷新当前书源展示,播放菜单补齐 legado audio_play menu_edit_source，同步复用阅读域编辑书源链路并保持仅保存返回刷新（取消不生效）
9,audio_play.xml,@+id/menu_wake_lock,@string/audio_play_wake_lock,音频服务唤醒锁,阅读与朗读,P3,done,codex,手工路径: 阅读页->底部菜单长按朗读->播放->音频服务唤醒锁; 校验入口勾选态与开关状态同步且切换后再次进入保持状态,播放菜单补齐 legado audio_play menu_wake_lock 同义 checkable 语义并持久化到 audioPlayWakeLock
10,audio_play.xml,@+id/menu_log,@string/log,日志,阅读与朗读,P3,done,codex,手工路径: 阅读页->底部菜单长按朗读->播放->日志; 校验点击后打开日志弹层并可关闭,播放菜单补齐 legado audio_play menu_log 常驻入口并接入 showAppLogDialog；点击直接打开日志弹层且无前置条件限制
